Epoch,Loss,Training,Testing
34,0.004750041434529393,86.77536231884058,78.2118055555555668.22819405273023,65.25850788240359
35,0.004683541388384909,87.88496376811594,80.9895833333333466.59212423370671,64.70218386479351
36,0.004377935610977911,87.25090579710145,78.4722222222222167.76559435425274,63.907663490452315
37,0.004372879890101858,87.16032608695652,78.7326388888888968.10871975704951,65.30481825466032
38,0.0045928188320505416,89.10778985507247,80.8159722222222168.36609612034381,64.81584518486602
39,0.004484016427771964,88.90398550724638,81.5972222222222167.92939549157289,65.32582286944455
40,0.00447554102698452,89.60597826086956,79.4270833333333468.87792207258848,64.17933076330411
41,0.004975727836556193,85.77898550724638,79.4270833333333465.83279985614739,63.64862977941951
42,0.004699230525304592,89.33423913043478,81.0763888888888968.6820446696421,65.3441745380624
43,0.004220448859466204,89.65126811594203,82.0312568.49428488820365,65.92307522441823
44,0.004314377101515544,89.83242753623189,81.3368055555555668.74600873090844,65.37749711021644
45,0.004617767934333174,88.90398550724638,80.4687568.54314574910418,65.04711182302506
46,0.004789735749705356,89.2663043478261,81.2568.8356229933793,65.43972791768056
47,0.004140837978499947,89.0625,80.7291666666666667.47631506308586,63.550164024540464
48,0.004224701756380983,89.51539855072464,81.8576388888888968.4610201694957,65.44599544575942
49,0.004201340384091618,89.74184782608695,81.0763888888888969.32770944423515,65.784730137547
50,0.004412668452390719,89.13043478260869,80.7291666666666669.12194006051212,65.85259812206625
51,0.00392187393793715,87.09239130434783,79.7743055555555667.18772925606797,64.16429842362898
52,0.0038759084644630947,90.44384057971014,81.6840277777777969.35545032209191,65.65900728132638
53,0.0037307919837076876,88.72282608695652,80.0347222222222167.55510315022384,63.614260263181336
54,0.004472144834157745,89.51539855072464,80.6423611111111168.47260235848849,64.62342872975742
55,0.003800881980456528,89.92300724637681,81.3368055555555668.80548095910403,65.4206655983445
56,0.0037048731910920164,90.0588768115942,80.8159722222222169.57679663243684,65.90013629689324
57,0.004039244103142147,89.87771739130434,81.7708333333333468.65460419545813,65.50841891345566
58,0.004036035663580588,88.24728260869566,80.4687567.08136369377581,64.12503960356065
59,0.003879180084145692,89.94565217391305,80.0347222222222169.22274124829548,65.08460542068009
60,0.0036459639566027713,89.42481884057972,80.1215277777777969.5482063805234,65.85658178399302
61,0.004156558969895518,88.76811594202898,80.5555555555555667.44435249713635,64.01523573643487
62,0.003650566854955514,89.35688405797102,80.9027777777777968.13569901562147,64.98621500056679
63,0.0035427717951243345,90.67028985507247,82.2916666666666669.63771121494285,66.7354125060642
64,0.004279737205412768,89.83242753623189,80.9895833333333469.54182619317758,65.8867817045534
65,0.0036768863467614003,90.10416666666666,81.9444444444444469.58856038164966,66.62574404735842
66,0.0033392459666313763,90.14945652173914,82.1180555555555669.08636147467739,65.99607788170815
67,0.003559368286080365,90.60235507246377,81.1631944444444469.67228980652254,65.60180825164132
68,0.004196848785188852,89.22101449275362,81.5972222222222168.77390129573617,66.09962279509783
69,0.0034225962289517677,90.80615942028986,81.1631944444444469.80459185319853,65.11618479724316
70,0.0033123006055679593,90.12681159420289,82.2916666666666669.30813604777212,66.06463130107896
71,0.002789385477635808,95.38043478260869,87.4131944444444496.73309711782075,94.2401846513028
72,0.0030185452382414033,94.99547101449275,86.8055555555555693.50447272399127,91.1478744192457
73,0.0026542105789677905,94.63315217391305,86.1111111111111195.05818287922571,91.30334757861387
74,0.002443031599108338,95.81068840579711,87.8472222222222196.30882625704761,93.6934694896619
75,0.0024596140976042564,95.47101449275362,88.0208333333333495.70079686601377,92.77155999798123
76,0.0023212627935420473,95.01811594202898,86.1979166666666692.80882079470416,90.44225310522614
77,0.002486765575036065,95.72010869565217,87.595.17878415898267,91.71838162701867
78,0.002575009361278235,95.44836956521739,87.1527777777777995.88393961610734,92.62676074917113
